# ----------------------------------------,,,,,,
# csstats.gg,,,,,,
# Untitled exploration-Free form 1,,,,,,
# 20260225-20260304,,,,,,
# ----------------------------------------,,,,,,
,,,,,,
ads_ab_variant,prebid,publift,(not set),,Totals,
Country,Views,Views,Views,Views,Views,
,1877289,1836601,19897,153,3733940,Grand total
,0,1,0,0,1,
(not set),232,406,1,0,639,
Afghanistan,7,26,1,0,34,
Albania,945,1028,12,0,1985,
Algeria,1823,1863,7,0,3693,
Andorra,44,114,0,0,158,
Angola,2,15,0,0,17,
Antigua & Barbuda,0,68,0,0,68,
Argentina,40926,40474,302,9,81711,
Armenia,1330,814,17,0,2161,
Aruba,2,6,0,0,8,
Australia,20616,17731,175,8,38530,
Austria,8323,7990,107,0,16420,
Azerbaijan,1003,2487,5,0,3495,
Bahamas,0,3,0,0,3,
Bahrain,78,63,0,0,141,
Bangladesh,496,682,2,0,1180,
Barbados,0,49,0,0,49,
Belarus,29940,28331,483,1,58755,
Belgium,6166,7294,93,0,13553,
Belize,0,20,0,0,20,
Benin,4,0,0,0,4,
Bermuda,2,0,0,0,2,
Bhutan,1,1,0,0,2,
Bolivia,260,180,0,0,440,
Bosnia & Herzegovina,2042,2639,29,0,4710,
Botswana,3,0,0,0,3,
Brazil,128359,124288,1253,31,253931,
Brunei,238,193,1,0,432,
Bulgaria,11941,9581,48,0,21570,
Cambodia,296,399,0,0,695,
Canada,28959,28346,200,4,57509,
Cayman Islands,38,18,0,0,56,
Chile,7240,7068,41,0,14349,
China,4291,3890,154,1,8336,
Colombia,772,1081,4,0,1857,
Congo - Kinshasa,92,30,0,0,122,
Costa Rica,173,71,1,0,245,
Croatia,3051,3750,31,0,6832,
Curaçao,0,1,0,0,1,
Cyprus,870,1304,17,1,2192,
Czechia,28576,27816,407,0,56799,
Denmark,20968,20165,143,0,41276,
Dominican Republic,163,41,0,0,204,
Ecuador,260,209,2,0,471,
Egypt,603,495,0,0,1098,
El Salvador,118,61,1,0,180,
Estonia,9358,8986,79,0,18423,
Faroe Islands,59,69,0,0,128,
Finland,32523,31140,225,5,63893,
France,44900,50620,378,0,95898,
French Guiana,5,3,0,0,8,
French Polynesia,4,69,1,0,74,
Gabon,7,0,0,0,7,
Georgia,3840,3471,26,0,7337,
Germany,95337,87480,1246,8,184071,
Ghana,9,62,0,0,71,
Gibraltar,1,11,0,0,12,
Greece,4010,3912,65,0,7987,
Greenland,20,31,0,0,51,
Guadeloupe,33,0,0,0,33,
Guam,20,28,0,0,48,
Guatemala,81,234,0,0,315,
Guernsey,3,41,14,0,58,
Guinea,1,0,0,0,1,
Honduras,49,39,0,0,88,
Hong Kong,17672,16516,111,1,34300,
Hungary,14479,13536,147,0,28162,
Iceland,609,730,0,0,1339,
India,15135,15428,44,0,30607,
Indonesia,9805,9282,87,1,19175,
Iran,38,26,1,0,65,
Iraq,487,369,2,0,858,
Ireland,3524,3198,15,0,6737,
Isle of Man,4,49,0,0,53,
Israel,5178,3579,11,0,8768,
Italy,5655,5699,57,0,11411,
Jamaica,23,9,0,0,32,
Japan,8300,7102,45,1,15448,
Jersey,45,14,0,0,59,
Jordan,727,573,1,0,1301,
Kazakhstan,21204,20545,244,8,42001,
Kenya,20,2,0,0,22,
Kosovo,780,665,3,0,1448,
Kuwait,1131,450,1,0,1582,
Kyrgyzstan,1883,2135,21,0,4039,
Laos,72,28,0,0,100,
Latvia,10536,11832,135,0,22503,
Lebanon,364,426,2,0,792,
Libya,31,30,0,0,61,
Liechtenstein,119,86,0,0,205,
Lithuania,15895,13521,85,0,29501,
Luxembourg,746,505,0,0,1251,
Macao,542,675,1,0,1218,
Madagascar,0,4,0,0,4,
Malaysia,7925,7900,99,0,15924,
Maldives,17,29,4,0,50,
Malta,299,152,0,0,451,
Martinique,16,18,0,0,34,
Mauritius,164,94,0,0,258,
Mexico,1712,1510,5,0,3227,
Moldova,5114,4602,36,1,9753,
Monaco,10,21,0,0,31,
Mongolia,5381,5295,29,0,10705,
Montenegro,736,553,2,0,1291,
Morocco,900,701,0,0,1601,
Mozambique,0,43,0,0,43,
Myanmar (Burma),283,245,0,0,528,
Namibia,16,0,0,0,16,
Nepal,196,229,0,0,425,
Netherlands,14304,12731,126,0,27161,
New Caledonia,836,73,2,0,911,
New Zealand,4669,3342,25,0,8036,
Nicaragua,10,23,0,0,33,
Nigeria,0,1,0,0,1,
North Macedonia,1470,2273,3,0,3746,
Northern Mariana Islands,39,0,0,0,39,
Norway,13739,11831,96,0,25666,
Oman,430,169,2,0,601,
Pakistan,3484,2728,18,0,6230,
Palestine,326,686,6,2,1020,
Panama,402,86,1,0,489,
Papua New Guinea,1,0,0,0,1,
Paraguay,616,773,3,0,1392,
Peru,9268,8703,23,0,17994,
Philippines,4718,3853,50,0,8621,
Poland,185344,186255,3045,5,374649,
Portugal,24499,23229,245,4,47977,
Puerto Rico,81,41,0,0,122,
Qatar,175,254,0,0,429,
Romania,33451,31703,321,0,65475,
Russia,485454,481190,5986,43,972673,
Réunion,199,71,0,0,270,
Saudi Arabia,1121,2262,7,0,3390,
Senegal,5,7,0,0,12,
Serbia,9129,8775,36,0,17940,
Seychelles,16,1,0,0,17,
Singapore,6611,6207,70,0,12888,
Sint Maarten,22,0,0,0,22,
Slovakia,14432,14101,225,0,28758,
Slovenia,2766,2964,29,0,5759,
South Africa,2316,2550,72,0,4938,
South Korea,27480,28664,131,4,56279,
South Sudan,0,3,0,0,3,
Spain,29150,27011,177,1,56339,
Sri Lanka,82,28,0,0,110,
St. Kitts & Nevis,0,2,0,0,2,
St. Martin,0,23,0,0,23,
St. Pierre & Miquelon,2,0,0,0,2,
Suriname,2,0,0,0,2,
Sweden,26801,27111,143,1,54056,
Switzerland,6233,7240,36,0,13509,
Syria,163,137,1,0,301,
Taiwan,29422,24783,186,1,54392,
Tajikistan,358,667,1,0,1026,
Tanzania,46,1,0,0,47,
Thailand,6729,6297,36,0,13062,
Trinidad & Tobago,16,11,0,0,27,
Tunisia,215,334,0,0,549,
Turkmenistan,22,368,0,0,390,
Türkiye,67789,68473,195,1,136458,
Ukraine,95442,95181,1027,0,191650,
United Arab Emirates,2865,2160,11,0,5036,
United Kingdom,34080,34039,222,0,68341,
United States,2425,1900,65,0,4390,
Uruguay,2868,1803,15,1,4687,
Uzbekistan,7679,8841,65,2,16587,
Venezuela,846,916,3,0,1765,
Vietnam,17317,18027,432,8,35784,
Western Sahara,2,0,0,0,2,
Zambia,15,3,1,0,19,
Zimbabwe,3,2,0,0,5,
Åland Islands,18,0,0,0,18,