Tier,Country,Prebid (Moba) Page Views,Publift Page Views,Moba Revenue ($),Publift Revenue Gross ($),Publift Revenue Net ($),Moba eCPM ($),Publift eCPM Gross ($),Publift eCPM Net ($),Moba Advantage vs Publift Net (%)
Tier 1,Australia,"53,182","50,193",$13.17,$18.63,$15.84,$0.2476,$0.3712,$0.3155,-21.5%
Tier 1,Canada,"76,566","78,302",$29.20,$28.61,$24.32,$0.3814,$0.3654,$0.3106,+22.8%
Tier 1,France,"113,378","129,568",$14.28,$18.74,$15.93,$0.1260,$0.1446,$0.1229,+2.4%
Tier 1,Germany,"247,579","236,326",$57.31,$59.33,$50.43,$0.2315,$0.2511,$0.2134,+8.5%
Tier 1,Italy,"15,292","14,288",$2.09,$2.25,$1.91,$0.1367,$0.1575,$0.1339,+2.1%
Tier 1,Spain,"75,169","70,596",$10.27,$9.88,$8.40,$0.1366,$0.1400,$0.1190,+14.9%
Tier 1,United Kingdom,"87,652","87,652",$17.97,$23.84,$20.26,$0.2050,$0.2720,$0.2312,-11.3%
Tier 1,United States,"6,312","5,498",$67.84,$0.29,$0.25,$10.7478,$0.0527,$0.0448,+23872.1%
Tier 2,Austria,"22,507","22,092",$8.18,$7.11,$6.04,$0.3634,$0.3218,$0.2736,+32.9%
Tier 2,Belgium,"15,329","19,091",$3.06,$4.34,$3.69,$0.1996,$0.2273,$0.1932,+3.3%
Tier 2,Croatia,"8,682","8,809",$0.55,$0.83,$0.71,$0.0633,$0.0942,$0.0801,-20.9%
Tier 2,Cyprus,"2,147","3,030",$0.53,$0.27,$0.23,$0.2469,$0.0891,$0.0757,+225.9%
Tier 2,Czechia,"74,530","71,731",$7.73,$9.14,$7.77,$0.1037,$0.1274,$0.1083,-4.2%
Tier 2,Denmark,"53,623","52,125",$16.79,$16.19,$13.76,$0.3131,$0.3106,$0.2640,+18.6%
Tier 2,Estonia,"21,570","21,970",$8.61,$5.29,$4.50,$0.3992,$0.2408,$0.2047,+95.0%
Tier 2,Faroe Islands,123,245,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 2,Finland,"85,175","83,665",$39.28,$28.27,$24.03,$0.4612,$0.3379,$0.2872,+60.6%
Tier 2,Greece,"10,617","10,639",$0.31,$0.48,$0.41,$0.0292,$0.0451,$0.0383,-23.9%
Tier 2,Hungary,"37,857","34,867",$6.68,$7.04,$5.98,$0.1765,$0.2019,$0.1716,+2.8%
Tier 2,Iceland,"1,443","2,283",$0.26,$0.51,$0.43,$0.1802,$0.2234,$0.1899,-5.1%
Tier 2,Ireland,"9,259","7,913",$1.74,$1.49,$1.27,$0.1879,$0.1883,$0.1601,+17.4%
Tier 2,Japan,"19,321","19,921",$1.15,$1.43,$1.22,$0.0595,$0.0718,$0.0610,-2.5%
Tier 2,Jordan,"2,214","1,451",$0.03,$0.02,$0.02,$0.0136,$0.0138,$0.0117,+15.7%
Tier 2,Latvia,"29,293","30,300",$2.79,$2.75,$2.34,$0.0952,$0.0908,$0.0771,+23.5%
Tier 2,Liechtenstein,320,284,$0.01,$0.01,$0.01,$0.0312,$0.0352,$0.0299,+4.4%
Tier 2,Lithuania,"41,298","36,896",$1.53,$1.63,$1.39,$0.0370,$0.0442,$0.0376,-1.3%
Tier 2,Netherlands,"36,541","34,972",$4.93,$5.82,$4.95,$0.1349,$0.1664,$0.1415,-4.6%
Tier 2,New Zealand,"11,422","8,386",$1.12,$1.34,$1.14,$0.0981,$0.1598,$0.1358,-27.8%
Tier 2,Norway,"33,949","31,528",$8.88,$9.42,$8.01,$0.2616,$0.2988,$0.2540,+3.0%
Tier 2,Poland,"469,676","476,598",$34.14,$49.17,$41.79,$0.0727,$0.1032,$0.0877,-17.1%
Tier 2,Portugal,"68,446","62,254",$8.83,$9.31,$7.91,$0.1290,$0.1495,$0.1271,+1.5%
Tier 2,Romania,"86,815","79,309",$6.07,$11.76,$10.00,$0.0699,$0.1483,$0.1260,-44.5%
Tier 2,Saudi Arabia,"2,825","4,818",$0.67,$0.78,$0.66,$0.2372,$0.1619,$0.1376,+72.3%
Tier 2,Serbia,"23,997","21,650",$1.61,$2.44,$2.07,$0.0671,$0.1127,$0.0958,-30.0%
Tier 2,Singapore,"20,157","17,267",$2.76,$3.14,$2.67,$0.1369,$0.1818,$0.1546,-11.4%
Tier 2,Slovakia,"38,044","35,257",$2.46,$3.25,$2.76,$0.0647,$0.0922,$0.0784,-17.5%
Tier 2,Slovenia,"7,338","7,272",$0.35,$0.36,$0.31,$0.0477,$0.0495,$0.0421,+13.4%
Tier 2,South Korea,"70,730","73,140",$3.92,$5.76,$4.90,$0.0554,$0.0788,$0.0669,-17.2%
Tier 2,Sweden,"68,872","69,360",$16.34,$20.44,$17.37,$0.2373,$0.2947,$0.2505,-5.3%
Tier 2,Switzerland,"17,168","17,514",$5.52,$5.80,$4.93,$0.3215,$0.3312,$0.2815,+14.2%
Tier 2,United Arab Emirates,"7,458","5,492",$1.28,$1.25,$1.06,$0.1716,$0.2276,$0.1935,-11.3%
Tier 3,Albania,"2,290","2,549",$0.13,$0.07,$0.06,$0.0568,$0.0275,$0.0233,+143.2%
Tier 3,Algeria,"4,758","5,917",$0.01,$0.03,$0.03,$0.0021,$0.0051,$0.0043,-51.2%
Tier 3,Argentina,"103,266","104,594",$5.47,$7.41,$6.30,$0.0530,$0.0708,$0.0602,-12.0%
Tier 3,Armenia,"3,003","2,268",$0.01,$0.02,$0.02,$0.0033,$0.0088,$0.0075,-55.6%
Tier 3,Azerbaijan,"2,540","5,780",$0.02,$0.07,$0.06,$0.0079,$0.0121,$0.0103,-23.5%
Tier 3,Bahrain,216,176,$0.01,$0.00,$0.00,$0.0463,$0.0000,$0.0000,N/A
Tier 3,Bangladesh,"1,302","1,528",$0.09,$0.15,$0.13,$0.0691,$0.0982,$0.0834,-17.2%
Tier 3,Belarus,"76,145","71,977",$1.43,$0.99,$0.84,$0.0188,$0.0138,$0.0117,+60.6%
Tier 3,Bolivia,656,528,$0.01,$0.01,$0.01,$0.0152,$0.0189,$0.0161,-5.3%
Tier 3,Bosnia and Herzegovina,"5,667","6,907",$0.85,$1.23,$1.05,$0.1500,$0.1781,$0.1514,-0.9%
Tier 3,Brazil,"322,854","314,280",$45.07,$41.06,$34.90,$0.1396,$0.1306,$0.1111,+25.7%
Tier 3,Brunei,575,607,$0.01,$0.00,$0.00,$0.0174,$0.0000,$0.0000,N/A
Tier 3,Bulgaria,"29,445","25,875",$1.60,$3.06,$2.60,$0.0543,$0.1183,$0.1005,-45.9%
Tier 3,Cambodia,719,956,$0.01,$0.01,$0.01,$0.0139,$0.0105,$0.0089,+56.4%
Tier 3,Cayman Islands,143,45,$0.02,$0.05,$0.04,$0.1399,$1.1111,$0.9444,-85.2%
Tier 3,Chile,"18,822","17,696",$2.82,$2.70,$2.29,$0.1498,$0.1526,$0.1297,+15.5%
Tier 3,China,"11,731","9,225",$0.44,$0.73,$0.62,$0.0375,$0.0791,$0.0673,-44.2%
Tier 3,Colombia,"2,223","2,668",$0.11,$0.21,$0.18,$0.0495,$0.0787,$0.0669,-26.0%
Tier 3,Costa Rica,423,358,$0.03,$0.03,$0.03,$0.0709,$0.0838,$0.0712,-0.4%
Tier 3,Dominican Republic,412,112,$0.01,$0.00,$0.00,$0.0243,$0.0000,$0.0000,N/A
Tier 3,Ecuador,717,722,$0.04,$0.06,$0.05,$0.0558,$0.0831,$0.0706,-21.0%
Tier 3,Egypt,"1,208","1,711",$0.04,$0.03,$0.03,$0.0331,$0.0175,$0.0149,+122.2%
Tier 3,El Salvador,241,174,$0.03,$0.01,$0.01,$0.1245,$0.0575,$0.0489,+154.8%
Tier 3,French Polynesia,26,135,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Georgia,"8,898","8,603",$0.11,$0.21,$0.18,$0.0124,$0.0244,$0.0207,-40.4%
Tier 3,Ghana,13,93,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Greenland,146,132,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Guam,48,42,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Guatemala,125,631,$0.01,$0.07,$0.06,$0.0800,$0.1109,$0.0943,-15.2%
Tier 3,Guernsey,27,155,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Honduras,114,77,$0.12,$0.01,$0.01,$1.0526,$0.1299,$0.1104,+853.6%
Tier 3,Hong Kong,"48,977","40,403",$6.23,$6.56,$5.58,$0.1272,$0.1624,$0.1380,-7.8%
Tier 3,India,"38,710","38,445",$1.07,$1.08,$0.92,$0.0276,$0.0281,$0.0239,+15.8%
Tier 3,Indonesia,"25,566","25,135",$0.71,$0.52,$0.44,$0.0278,$0.0207,$0.0176,+57.9%
Tier 3,Iraq,"1,095",848,$0.09,$0.00,$0.00,$0.0822,$0.0000,$0.0000,N/A
Tier 3,Isle of Man,25,74,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Israel,"14,172","9,448",$0.13,$0.11,$0.09,$0.0092,$0.0116,$0.0099,-7.3%
Tier 3,Jamaica,108,13,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Jersey,184,77,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Kazakhstan,"58,088","55,309",$1.53,$1.38,$1.17,$0.0263,$0.0250,$0.0212,+24.2%
Tier 3,Kosovo,"1,836","1,591",$0.02,$0.05,$0.04,$0.0109,$0.0314,$0.0267,-59.2%
Tier 3,Kuwait,"3,041","1,925",$0.10,$0.10,$0.09,$0.0329,$0.0519,$0.0442,-25.5%
Tier 3,Kyrgyzstan,"5,218","5,630",$0.07,$0.07,$0.06,$0.0134,$0.0124,$0.0106,+26.9%
Tier 3,Laos,222,68,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Lebanon,"1,096","1,262",$0.03,$0.01,$0.01,$0.0274,$0.0079,$0.0067,+306.4%
Tier 3,Libya,93,43,$0.00,$0.02,$0.02,$0.0000,$0.4651,$0.3953,-100.0%
Tier 3,Luxembourg,"1,762","1,013",$0.11,$0.03,$0.03,$0.0624,$0.0296,$0.0252,+148.0%
Tier 3,Macao,"1,522","1,558",$0.02,$0.03,$0.03,$0.0131,$0.0193,$0.0164,-19.7%
Tier 3,Malaysia,"22,393","20,775",$1.03,$1.42,$1.21,$0.0460,$0.0684,$0.0581,-20.8%
Tier 3,Malta,680,289,$0.11,$0.07,$0.06,$0.1618,$0.2422,$0.2059,-21.4%
Tier 3,Martinique,27,70,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Mauritius,415,381,$0.00,$0.01,$0.01,$0.0000,$0.0262,$0.0223,-100.0%
Tier 3,Mexico,"3,830","3,951",$0.97,$0.81,$0.69,$0.2533,$0.2050,$0.1743,+45.3%
Tier 3,Moldova,"12,862","11,518",$0.17,$0.13,$0.11,$0.0132,$0.0113,$0.0096,+37.8%
Tier 3,Monaco,10,55,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Mongolia,"14,533","14,049",$0.04,$0.07,$0.06,$0.0028,$0.0050,$0.0042,-35.0%
Tier 3,Montenegro,"1,476","1,649",$0.02,$0.08,$0.07,$0.0136,$0.0485,$0.0412,-67.1%
Tier 3,Morocco,"2,088","1,811",$0.06,$0.02,$0.02,$0.0287,$0.0110,$0.0094,+206.1%
Tier 3,Mozambique,72,86,$0.01,$0.00,$0.00,$0.1389,$0.0000,$0.0000,N/A
Tier 3,Myanmar (Burma),678,784,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Nepal,643,586,$0.01,$0.00,$0.00,$0.0156,$0.0000,$0.0000,N/A
Tier 3,New Caledonia,"1,790",143,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Nicaragua,31,25,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Nigeria,3,4,$0.04,$0.03,$0.03,$13.3333,$7.5000,$6.3750,+109.2%
Tier 3,North Macedonia,"4,430","5,704",$0.05,$0.09,$0.08,$0.0113,$0.0158,$0.0134,-15.8%
Tier 3,Oman,867,533,$0.04,$0.02,$0.02,$0.0461,$0.0375,$0.0319,+44.7%
Tier 3,Pakistan,"8,602","8,091",$0.35,$0.14,$0.12,$0.0407,$0.0173,$0.0147,+176.6%
Tier 3,Palestine,724,"1,756",$0.05,$0.04,$0.03,$0.0691,$0.0228,$0.0194,+256.7%
Tier 3,Panama,918,239,$0.03,$0.01,$0.01,$0.0327,$0.0418,$0.0356,-8.1%
Tier 3,Paraguay,"1,929","1,837",$0.03,$0.11,$0.09,$0.0156,$0.0599,$0.0509,-69.4%
Tier 3,Peru,"23,265","24,109",$0.82,$1.16,$0.99,$0.0352,$0.0481,$0.0409,-13.8%
Tier 3,Philippines,"11,334","9,919",$0.19,$0.38,$0.32,$0.0168,$0.0383,$0.0326,-48.5%
Tier 3,Puerto Rico,415,150,$0.02,$0.02,$0.02,$0.0482,$0.1333,$0.1133,-57.5%
Tier 3,Qatar,471,609,$0.05,$0.06,$0.05,$0.1062,$0.0985,$0.0837,+26.8%
Tier 3,South Africa,"6,881","7,095",$1.43,$1.63,$1.39,$0.2078,$0.2297,$0.1953,+6.4%
Tier 3,Sri Lanka,252,62,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Syria,601,435,$0.17,$0.02,$0.02,$0.2829,$0.0460,$0.0391,+623.8%
Tier 3,Taiwan,"72,463","60,034",$7.75,$3.65,$3.10,$0.1070,$0.0608,$0.0517,+107.0%
Tier 3,Tajikistan,863,"1,467",$0.02,$0.01,$0.01,$0.0232,$0.0068,$0.0058,+300.0%
Tier 3,Tanzania,137,1,$0.05,$0.06,$0.05,$0.3650,$60.0000,$51.0000,-99.3%
Tier 3,Thailand,"17,938","16,846",$1.88,$1.36,$1.16,$0.1048,$0.0807,$0.0686,+52.7%
Tier 3,Tunisia,534,961,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 3,Turkiye,"180,240","183,236",$8.85,$9.91,$8.42,$0.0491,$0.0541,$0.0460,+6.8%
Tier 3,Turkmenistan,206,684,$0.09,$0.03,$0.03,$0.4369,$0.0439,$0.0373,+1071.9%
Tier 3,Ukraine,"242,794","245,252",$3.13,$2.45,$2.08,$0.0129,$0.0100,$0.0085,+51.8%
Tier 3,Uruguay,"6,948","4,369",$0.13,$0.09,$0.08,$0.0187,$0.0206,$0.0175,+6.9%
Tier 3,Uzbekistan,"22,638","23,263",$1.62,$1.48,$1.26,$0.0716,$0.0636,$0.0541,+32.3%
Tier 3,Venezuela,"2,080","2,382",$0.01,$0.00,$0.00,$0.0048,$0.0000,$0.0000,N/A
Tier 3,Vietnam,"46,973","48,572",$1.70,$1.20,$1.02,$0.0362,$0.0247,$0.0210,+72.3%
Tier 3,Zambia,57,37,$0.00,$0.02,$0.02,$0.0000,$0.5405,$0.4595,-100.0%
Untiered,Afghanistan,19,28,$0.02,$0.00,$0.00,$1.0526,$0.0000,$0.0000,N/A
Untiered,Aland Islands,30,63,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Andorra,63,182,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Angola,3,67,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Antigua and Barbuda,0,68,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Aruba,6,18,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Bahamas,0,3,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Barbados,1,119,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Belize,0,20,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Benin,4,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Bermuda,23,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Bhutan,1,1,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Botswana,10,2,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,British Virgin Islands,0,13,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Burkina Faso,0,9,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Cameroon,0,0,$0.03,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Cape Verde,0,5,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Curacao,0,15,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Democratic Republic of the Congo,215,38,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,French Guiana,6,39,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Gabon,10,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Gibraltar,2,73,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Guadeloupe,52,7,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Guinea,1,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Guyana,6,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Haiti,0,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Iran,56,33,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Kenya,59,11,$0.01,$0.00,$0.00,$0.1695,$0.0000,$0.0000,N/A
Untiered,Madagascar,1,10,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Maldives,61,119,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Mali,0,3,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Mayotte,0,1,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Namibia,26,17,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Northern Mariana Islands,63,19,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Papua New Guinea,1,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Reunion,377,395,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Saint Kitts and Nevis,1,8,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Saint Martin,1,41,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Saint Pierre and Miquelon,2,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Senegal,20,26,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Seychelles,16,1,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Sint Maarten,40,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,South Sudan,0,3,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Suriname,5,10,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Trinidad and Tobago,173,35,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Turks and Caicos Islands,0,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Uganda,0,2,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Vanuatu,4,0,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Western Sahara,2,9,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Untiered,Zimbabwe,8,8,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A

SUBTOTALS BY TIER,,,,,,,,,,
Tier 1,8 countries,"675,130","672,423",$212.13,$161.57,$137.33,$0.3142,$0.2403,$0.2042,+53.8%
Tier 2,33 countries,"1,398,746","1,372,129",$198.11,$216.84,$184.31,$0.1416,$0.1580,$0.1343,+5.4%
Tier 3,90 countries,"1,516,559","1,473,182",$99.53,$94.76,$80.55,$0.0656,$0.0643,$0.0547,+20.0%
Untiered,50 countries,"1,368","1,521",$0.06,$0.00,$0.00,$0.0439,$0.0000,$0.0000,0.0%
GRAND TOTAL (excl. Russia),All,"3,591,803","3,519,255",$509.83,$473.17,$402.19,$0.1419,$0.1345,$0.1143,+24.2%
GRAND TOTAL (excl. Russia & US),All excl. US anomaly,"3,585,491","3,513,757",$441.99,$472.88,$401.95,$0.1233,$0.1346,$0.1144,+7.8%

KEY FINDINGS,,,,,,,,,,
,,,,,,,,,,
Finding,Detail,,,,,,,,,
Period,25 Feb - 16 Mar 2026,,,,,,,,,
Exclusion,Russia excluded from all analysis (regulatory + monetisation constraints),,,,,,,,,
Primary Metric,Revenue per Page View (RPV) — NOT fill rate,,,,,,,,,
Publift Commission,15% of gross revenue,,,,,,,,,
US Anomaly,Moba $67.84 vs Publift $0.29 from US — investigate GAM ad unit config,,,,,,,,,
Recommendation,Moba (Prebid) outperforms Publift net across all tiers after commission adjustment,,,,,,,,,

ASSUMPTIONS,,,,,,,,,,
,,,,,,,,,,
Parameter,Value,Notes,,,,,,,,
Publift Commission Rate,15%,Publift charges ~15% commission on total revenue,,,,,,,,
Publift Net Revenue,Gross × 0.85,Revenue after Publift takes their cut,,,,,,,,
eCPM,Revenue ÷ Page Views × 1000,Effective CPM (Revenue per 1000 page views),,,,,,,,
Moba Advantage %,(Moba eCPM - Publift Net eCPM) ÷ Publift Net eCPM × 100,Positive = Moba earns more per page view,,,,,,,,
Page Views Source,Google Analytics (GA4),Segmented by ads_ab_variant: prebid vs publift,,,,,,,,
Revenue Source,Google Ad Manager (GAM),Moba: Gamers Net Inc network | Publift: FACE IT LIMITED network,,,,,,,,
